,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B),Avg pct similar neighbors (count empty),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B) (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct group B,Intolerance
233,99.1,100.0,96.6,66.4,76.8,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
234,99.1,100.0,96.6,66.3,76.6,39.7,58.2,64.8,38.6,350,262,88,0.25,0.25
235,99.1,100.0,96.6,66.4,76.7,39.9,58.3,64.8,38.9,350,262,88,0.25,0.25
236,99.1,100.0,96.6,66.4,76.8,39.4,58.1,64.8,38.1,350,262,88,0.25,0.25
237,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
238,99.1,100.0,96.6,66.2,76.6,39.2,58.1,64.8,38.1,350,262,88,0.25,0.25
239,99.1,100.0,96.6,66.3,76.6,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
240,99.1,100.0,96.6,66.2,76.6,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
241,99.1,100.0,96.6,66.4,76.8,39.5,58.1,64.8,38.2,350,262,88,0.25,0.25
242,99.1,100.0,96.6,66.4,76.7,39.7,58.1,64.8,38.4,350,262,88,0.25,0.25
243,99.1,100.0,96.6,66.3,76.6,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
244,99.1,100.0,96.6,66.4,76.8,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
245,99.1,100.0,96.6,66.3,76.6,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
246,99.1,100.0,96.6,66.4,76.8,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
247,99.1,100.0,96.6,66.5,76.7,39.9,58.2,64.8,38.6,350,262,88,0.25,0.25
248,99.1,100.0,96.6,66.3,76.7,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
249,99.1,100.0,96.6,66.4,76.8,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
250,99.1,100.0,96.6,66.2,76.5,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
251,99.1,100.0,96.6,66.4,76.8,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
252,99.1,100.0,96.6,66.4,76.6,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
253,99.1,100.0,96.6,66.3,76.7,39.4,58.1,64.8,38.1,350,262,88,0.25,0.25
254,99.1,100.0,96.6,66.4,76.8,39.5,58.1,64.8,38.2,350,262,88,0.25,0.25
255,99.1,100.0,96.6,66.4,76.8,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
256,99.1,100.0,96.6,66.6,76.9,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
257,99.1,100.0,96.6,66.5,76.9,39.7,58.2,64.8,38.5,350,262,88,0.25,0.25
258,99.1,100.0,96.6,66.5,76.9,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
259,99.1,100.0,96.6,66.3,76.7,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
260,99.1,100.0,96.6,66.3,76.7,39.4,58.1,64.8,38.2,350,262,88,0.25,0.25
261,99.1,100.0,96.6,66.4,76.8,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
262,99.1,100.0,96.6,66.4,76.7,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
263,99.4,100.0,97.7,66.4,76.8,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
264,99.1,100.0,96.6,66.5,76.9,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
265,99.1,100.0,96.6,66.4,76.6,39.8,58.2,64.8,38.5,350,262,88,0.25,0.25
266,99.1,100.0,96.6,66.4,76.8,39.5,58.1,64.8,38.4,350,262,88,0.25,0.25
267,99.1,100.0,96.6,66.5,76.9,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
268,99.1,100.0,96.6,66.3,76.6,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
269,99.1,100.0,96.6,66.5,76.9,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
270,99.1,100.0,96.6,66.4,76.7,39.6,58.1,64.8,38.4,350,262,88,0.25,0.25
271,99.1,100.0,96.6,66.5,76.9,39.6,58.2,64.8,38.5,350,262,88,0.25,0.25
272,99.1,100.0,96.6,66.6,76.9,39.8,58.2,64.8,38.6,350,262,88,0.25,0.25
